signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile,rule_exit_reason,rule_underlying_return,rule_net_return,rule_equity,leverage,stop_margin_loss,split
1144,2026-03-03 23:00:00,2026-03-04,2026-03-04 23:00:00,68295.3,68295.2,72641.4,68747.9484375,0.0066278124190097,1.0,1,0.0636384401832046,0.0622384401832046,True,True,True,True,0.0109658595345018,0.0063789229579237,0.0072347491343561,0.004734047712371,0.008230554794914,0.061694057081755,5,5,5,5,5,0.926027397260274,0.873972602739726,0.9287671232876712,time,0.06363844018320464,0.6223844018320464,57.1127904252997,10.0,0.3,test
55,2023-03-10 23:00:00,2023-03-11,2023-03-11 23:00:00,20140.3,20140.3,20447.3,20673.837890625,0.0264910597471239,1.0,1,0.0152430698648977,0.0138430698648977,True,True,True,True,0.0124842976519714,0.0076161159478735,0.0071538196032115,0.0059629439588432,0.0071131267777214,0.0151280615229502,5,5,5,5,5,1.0,0.8888888888888888,0.9074074074074074,time,0.015243069864897762,0.1384306986489776,1.1384306986489776,10.0,0.6,train
67,2023-03-22 23:00:00,2023-03-23,2023-03-23 23:00:00,27233.8,27233.8,28284.1,27983.280859375,0.0275202454073614,1.0,1,0.0385660466038524,0.0371660466038524,True,True,True,True,0.0116641208106593,0.0124885062943605,0.0090605778549818,0.0061717276450148,0.0087895396435221,0.0378409603896129,5,5,5,5,5,0.8939393939393939,1.0,0.9545454545454546,time,0.03856604660385243,0.3716604660385243,1.5615403826614194,10.0,0.6,train
142,2023-06-05 23:00:00,2023-06-06,2023-06-06 23:00:00,25714.7,25714.6,27221.5,26171.84765625,0.0177776779915767,1.0,1,0.0586009504328282,0.0572009504328282,True,True,True,True,0.0075632809249184,0.006605941361193,0.0041151863271084,0.0034672531464229,0.0054213422644611,0.0569442894280941,4,5,3,4,4,0.5957446808510638,0.8297872340425532,0.4184397163120567,time,0.0586009504328282,0.572009504328282,2.4547563229361735,10.0,0.6,train
151,2023-06-14 23:00:00,2023-06-15,2023-06-15 23:00:00,25115.9,25115.9,25586.1,25395.727734375,0.0111414575776698,1.0,1,0.0187212084774981,0.0173212084774981,True,True,True,True,0.0064421342655449,0.0080604297984006,0.005141768366754,0.00349088676768,0.0033785259123544,0.0185481235563886,3,5,4,4,2,0.4733333333333333,0.9066666666666666,0.64,time,0.01872120847749814,0.1732120847749814,2.8799497832465155,10.0,0.6,train
167,2023-06-30 23:00:00,2023-07-01,2023-07-01 23:00:00,30460.2,30460.2,30573.6,30841.709375,0.0125248479983715,1.0,1,0.003722890854295,0.002322890854295,True,True,True,True,0.0096754672217078,0.007088121546507,0.0046834791925394,0.0038660661937513,0.0008196791920565,0.0037159780479086,5,5,3,4,1,0.8614457831325302,0.8554216867469879,0.536144578313253,time,0.0037228908542950023,0.023228908542950025,2.9468478733698373,10.0,0.6,train
173,2023-07-06 23:00:00,2023-07-07,2023-07-07 23:00:00,29874.4,29874.3,30327.9,30191.228515625,0.0106053515928352,1.0,1,0.01518361936514,0.01378361936514,True,True,True,True,0.0088608474145087,0.0062312635389021,0.0040519719638242,0.0046343664543067,0.002572162210264,0.0150661545575722,5,5,3,5,2,0.813953488372093,0.8197674418604651,0.4011627906976744,time,0.015183619365140011,0.1378361936514001,3.353030167504859,10.0,0.6,train
215,2023-08-17 23:00:00,2023-08-18,2023-08-18 23:00:00,26609.7,26609.7,26042.1,27634.101953125,0.0384973131273557,1.0,1,-0.0213305674246609,-0.0227305674246609,False,True,False,False,0.0131646855595265,0.0121497585400788,0.0071922198994637,0.0056554667194832,0.0040978716047242,0.0215613517188747,5,5,5,5,3,0.97196261682243,0.985981308411215,0.911214953271028,time,-0.021330567424660996,-0.22730567424660997,2.5908673845109433,10.0,0.6,train
291,2023-11-01 23:00:00,2023-11-02,2023-11-02 23:00:00,35437.4,35437.5,34940.1,35660.7984375,0.0063040301348292,1.0,1,-0.0140359788359788,-0.0154359788359788,False,True,False,False,0.007937588536405,0.0069442327493063,0.0046310915855469,0.0040165807802855,0.0041645877885067,0.0141325928634588,4,5,3,4,3,0.7551724137931034,0.896551724137931,0.6758620689655173,time,-0.014035978835978846,-0.15435978835978847,2.1909416433695554,10.0,0.6,train
410,2024-02-28 23:00:00,2024-02-29,2024-02-29 23:00:00,62487.9,62487.9,61203.3,64246.7828125,0.0281475743703981,1.0,1,-0.0205575799474777,-0.0219575799474777,False,True,False,False,0.0170627700189423,0.0104476239553493,0.0080746909066122,0.0079063237196962,0.0076508305266639,0.0207718283662642,5,5,5,5,5,0.9972602739726028,0.9753424657534246,0.9534246575342464,time,-0.020557579947477755,-0.21957579947477757,1.7098638804241022,10.0,0.6,train
